id,name,brand,manufacturer,upc,ean,type,currency,price,priceMin,priceMax,orderable,ats,stockLevel,primaryCategoryId,shortDescription,longDescription,pageTitle,pageDescription,pageKeywords,variationAttributes,variantCount,imageCount,primaryImage,slug
25518009M,Extend Tab Straight Leg Pant,,,,,master,USD,43.99,,,true,694,694,womens-clothing-bottoms,"Classically designed, this bootleg jean is perfect to pair with a great Commerce Cloud Store top.","Classically designed, this bootleg jean is perfect to pair with a great Commerce Cloud Store top.",Extend Tab Straight Leg Pant,"Classically designed, this bootleg jean is perfect to pair with a great Commerce Cloud Store top.",,color=Marine Wash; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw7253b5f5/images/large/PG.10211049.JJ9LMXX.PZ.jpg,
25591434M,Floral Slim Skirt,,,,,master,USD,73.99,,,true,500,500,womens-clothing-bottoms,Update a basic tee with a floral printed skirt. To complete this look you will need to add one of our classic pumps.,Update a basic tee with a floral printed skirt. To complete this look you will need to add one of our classic pumps.,Floral Slim Skirt,Update a basic tee with a floral printed skirt.  To complete this look you will need to add one of our classic pumps.,,color=Tulip Multi; size=6|10|12|14|16,5,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw322479c5/images/large/PG.10228705.JJGN9A0.PZ.jpg,
25593249M,Long Pleated Skirt,,,,,master,USD,119,,,true,400,400,womens-clothing-bottoms,Our best selling classic skirt is updated with stripes at the bottom for the season!,Our best selling classic skirt is updated with stripes at the bottom for the season!,Long Pleated Skirt,Our best selling classic skirt is updated with stripes at the bottom for the season!,,color=Ink & White; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw8d6ee08f/images/large/PG.10239042.JJY94A0.PZ.jpg,
25695231M,Drape Front Cardigan.,,,,,master,USD,59,,,true,500,500,womens-clothing-tops,We've updated our classic cardigan with an open draped front. We've added a little length for a new look,We've updated our classic cardigan with an open draped front. We've added a little length for a new look,Drape Front Cardigan.,We've updated our classic cardigan with an open draped front. We've added a little length for a new look ,,color=White; size=XS|S|M|L|XL,5,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwd1e3d9cb/images/large/PG.10252329.JJI15XX.PZ.jpg,
25593429M,Washable Linen Classic Yoke Pant,,,,,master,USD,89,,,true,1300,1300,womens-clothing-bottoms,The ultimate pant begins with great fit. This flat-front pant with yoked waist has a bit of stretch to add comfort and ease.,The ultimate pant begins with great fit. This flat-front pant with yoked waist has a bit of stretch to add comfort and ease.,Washable Linen Classic Yoke Pant,The ultimate pant begins with great fit. This flat-front pant with yoked waist has a bit of stretch to add comfort and ease.,,color=Black & White|Stone and White; size=4|6|8|10|12|14|16,13,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwc27f3e97/images/large/PG.10241119.JJ3WWXX.PZ.jpg,
25695451M,3/4 Sleeve Button Front Crew Neck Cardigan.,,,,,master,USD,79,,,true,400,400,womens-clothing-tops,A cardigan is this season's must have for chilly nights!,A cardigan is this season's must have for chilly nights!,3/4 Sleeve Button Front Crew Neck Cardigan.,A cardigan is this season's must have for chilly nights! ,,color=Multi; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw2b7017a5/images/large/PG.10252789.JJZ01XX.PZ.jpg,
25696513M,Sleeveless Pleated Top.,,,,,master,USD,49,,,true,62,62,womens-clothing-tops,Update your wardrobe with this sleeveless pleated shirt. Add a new piece of Commerce Cloud Store jewelry and you will look fabulous.,Update your wardrobe with this sleeveless pleated shirt. Add a new piece of Commerce Cloud Store jewelry and you will look fabulous.,Sleeveless Pleated Top.,Update your wardrobe with this sleeveless pleated shirt.  Add a new piece of Commerce Cloud Store jewelry and you will look fabulous. ,,color=New Coral; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw67649083/images/large/PG.10251227.JJE86XX.PZ.jpg,
25697392M,Pleated Skirt.,,,,,master,USD,109,,,true,400,400,womens-clothing-bottoms,Spring into a new season with this perfect side button smooth waist pleated skirt. Add a jacket or blouse for a perfect desk-to-dinner look.,Spring into a new season with this perfect side button smooth waist pleated skirt. Add a jacket or blouse for a perfect desk-to-dinner look.,Pleated Skirt.,Spring into a new season with this perfect side button smooth waist pleated skirt. Add a jacket or blouse for a perfect desk-to-dinner look. ,,color=Black; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa57beca5/images/large/PG.10255878.JJ3WCXX.PZ.jpg,
25697682M,Woven Trimmed Cardigan.,,,,,master,USD,89,,,true,576,576,womens-clothing-tops,A cardigan is this season's must have for chilly nights! We updated our favorite cardigan with a woven trim.,A cardigan is this season's must have for chilly nights! We updated our favorite cardigan with a woven trim.,Woven Trimmed Cardigan.,A cardigan is this season's must have for chilly nights! We updated our favorite cardigan with a woven trim. ,,color=Dark Pink Gem|White; size=S|M|L|XL,8,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwd2828b4c/images/large/PG.10256582.JJAE6A0.PZ.jpg,
25778945M,Incase,,,,,master,USD,110,,,true,878,878,womens-accessories-shoes,Comfortable and stylish! Sweet sandal with studding detail.,Comfortable and stylish! Sweet sandal with studding detail.,Incase,Comfortable and stylish! Sweet sandal with studding detail. ,,color=Natural; size=6|6.5|7|7.5|8|8.5|9|9.5|10; width=M,9,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw7abe82ec/images/large/PG.CJINCASE.MEDNALE.PZ.jpg,
25591862M,Stripe Walking Short,,,,,master,USD,59,,,true,700,700,womens-clothing-bottoms,This contour waist striped pant is perfect for weekend wear. Pair it with a great Commerce Cloud Store top and your are set to go!,This contour waist striped pant is perfect for weekend wear. Pair it with a great Commerce Cloud Store top and your are set to go!,Stripe Walking Short,This contour waist striped pant is perfect for weekend wear.  Pair it with a great Commerce Cloud Store top and your are set to go!,,color=Admiral Navy & White; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw2e01b687/images/large/PG.10225936.JJCN1XX.PZ.jpg,
25720046M,Gold Stretch Bangle,,,,,master,USD,38,,,true,100,100,,Update any outfit with this stretch bangle. Pair with its matching stretch bangle to complete your look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Update any outfit with this stretch bangle. Pair with its matching stretch bangle to complete your look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Gold Stretch Bangle,Update any outfit with this stretch bangle. Pair with its matching stretch bangle to complete your look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,,color=Gold,1,3,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dweb3c0ae0/images/large/PG.60119248.JJ887XX.PZ.jpg,
25518397M,Bootleg Trouser,,,,,master,USD,68.99,,,true,599,599,womens-clothing-bottoms,Our modern bootleg trouser gives you a perfect fit every time. Pair it with a New Commerce Cloud Store top and you are set to go!,Our modern bootleg trouser gives you a perfect fit every time. Pair it with a New Commerce Cloud Store top and you are set to go!,Bootleg Trouser,Our modern bootleg trouser gives you a perfect fit every time.  Pair it with a New Commerce Cloud Store top and you are set to go!,,color=Black & Sugar; size=4|8|10|12|14|16,6,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwe7fddf5b/images/large/PG.10204133.JJ0CZXX.PZ.jpg,
25591241M,Classic Yoke Pant,,,,,master,USD,80.99,,,true,700,700,womens-clothing-bottoms,"This classic pant, with a contour waist and 2 back besom pockets is a must for every wardrobe. It's perfect from day-to-dinner","This classic pant, with a contour waist and 2 back besom pockets is a must for every wardrobe. It's perfect from day-to-dinner",Classic Yoke Pant,"This classic pant, with a contour waist and 2 back besom pockets is a must for every wardrobe.  It's perfect from day-to-dinner",,color=White; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw586ed3d5/images/large/PG.10220645.JJ2DGXX.PZ.jpg,
25592309M,Long Walking Short,,,,,master,USD,49,,,true,600,600,womens-clothing-bottoms,Enjoy these shorts as the hot weather arrives! These can be worn with a tee or tank!,Enjoy these shorts as the hot weather arrives! These can be worn with a tee or tank!,Long Walking Short,Enjoy these shorts as the hot weather arrives! These can be worn with a tee or tank!,,color=Tundra; size=4|6|8|10|12|14,6,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw55ed6dcd/images/large/PG.10227893.JJV02XX.PZ.jpg,
25565094M,Pull On Neutral Pant,,,,,master,USD,69,,,true,500,500,womens-clothing-bottoms,Spring into a new season with this perfect neutral pull on pant. Add the matching jacket for a perfect desk-to-dinner look.,Spring into a new season with this perfect neutral pull on pant. Add the matching jacket for a perfect desk-to-dinner look.,Pull On Neutral Pant,Spring into a new season with this perfect neutral  pull on pant. Add the matching jacket for a perfect desk-to-dinner look.,,color=Black & Sugar; size=XS|S|M|L|XL,5,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwea5c4077/images/large/PG.10224484.JJ0CZXX.PZ.jpg,
25565409M,Drawcord Pant,,,,,master,USD,59,,,true,499,499,womens-clothing-bottoms,Our best selling draw cord pant is a must have wardrobe completer. We love the way it looks with a great Commerce Cloud Store top!,Our best selling draw cord pant is a must have wardrobe completer. We love the way it looks with a great Commerce Cloud Store top!,Drawcord Pant,Our best selling draw cord pant is a must have wardrobe completer.  We love the way it looks with a great Commerce Cloud Store top!,,color=earth brown combo; size=XS|S|M|L|XL,5,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw5e7d8134/images/large/PG.10224572.JJCG2XX.PZ.jpg,
25695701M,Ruffle Sleeveless Blouse.,,,,,master,USD,64,,,true,339,339,womens-clothing-tops,This shirt adds an updated look to any outfit. You will love the ruffle collar.,This shirt adds an updated look to any outfit. You will love the ruffle collar.,Ruffle Sleeveless Blouse.,This shirt adds an updated look to any outfit. You will love the ruffle collar. ,,color=Dark Pink Gem; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw4966bc09/images/large/PG.10258518.JJAE6A0.PZ.jpg,
25696630M,Mixed Media Dress.,,,,,master,USD,159,,,true,699,699,womens-clothing-dresses,This dress is truly amazing! We love this dress and so will you! Be the talk of your next get together!,This dress is truly amazing! We love this dress and so will you! Be the talk of your next get together!,Mixed Media Dress.,This dress is truly amazing! We love this dress and so will you! Be the talk of your next get together! ,,color=Chino Multi; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw9b3dd147/images/large/PG.10244749.JJE53XX.PZ.jpg,
25697561M,Ruffle Front Blouse.,,,,,master,USD,74,,,true,400,400,womens-clothing-tops,Ruffles are so in this season! You will love the way this looks!,Ruffles are so in this season! You will love the way this looks!,Ruffle Front Blouse.,Ruffles are so in this season! You will love the way this looks! ,,color=Pink Gem Combo; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw850417f8/images/large/PG.10245478.JJAN5XX.PZ.jpg,
25697651M,Ruffle Front Sleeveless Blouse.,,,,,master,USD,69,,,true,400,400,womens-clothing-tops,This shirt adds an updated look to any outfit. You will love the ruffle collar.,This shirt adds an updated look to any outfit. You will love the ruffle collar.,Ruffle Front Sleeveless Blouse.,This shirt adds an updated look to any outfit. You will love the ruffle collar. ,,color=Sugar Pea and White; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwea7ed7d6/images/large/PG.10253037.JJB18XX.PZ.jpg,
25697699M,Open Cardigan.,,,,,master,USD,99,,,true,400,400,womens-clothing-tops,Cardigans are a wonderful layering pieces that work with everything. Pair with a classic pant or skirt.,Cardigans are a wonderful layering pieces that work with everything. Pair with a classic pant or skirt.,Open Cardigan.,Cardigans are a wonderful layering pieces that work with everything. Pair with a classic pant or skirt. ,,color=White; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwc4516037/images/large/PG.10256606.JJI15XX.PZ.jpg,
25720074M,Green and Gold Necklace,,,,,master,USD,36,,,true,97,97,womens-jewelry-necklaces,"Commerce Cloud creates timeless classic jewelry that can be worn day or night. This amazing beaded necklace with wrapped design and toggle closure, is a sure way to update your wardrobe. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.","Commerce Cloud creates timeless classic jewelry that can be worn day or night. This amazing beaded necklace with wrapped design and toggle closure, is a sure way to update your wardrobe. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.",Green and Gold Necklace,"Commerce Cloud creates timeless classic jewelry that can be worn day or night. This amazing beaded necklace with wrapped design and toggle closure, is a sure way to update your wardrobe. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ",,color=Green,1,3,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw979d1ae7/images/large/PG.60119290.JJ900A0.PZ.jpg,
25591295M,Slim Pant,,,,,master,USD,73.99,,,true,700,700,womens-clothing-bottoms,Finding the perfect pant has never been easier. This straight leg pant with coin pocket and light stretch material is great for office wear.,Finding the perfect pant has never been easier. This straight leg pant with coin pocket and light stretch material is great for office wear.,Slim Pant,Finding the perfect pant has never been easier.  This straight leg pant with coin pocket and light stretch material is great for office wear.,,color=Ink; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw15230b4c/images/large/PG.10221015.JJIX2XX.PZ.jpg,
25696622M,Tweed Pencil Skirt.,,,,,master,USD,109,,,true,700,700,womens-clothing-bottoms,A tweed pencil skirt is just what the busy professional woman needs. You don't have to sacrifice great fit and quality for comfort!,A tweed pencil skirt is just what the busy professional woman needs. You don't have to sacrifice great fit and quality for comfort!,Tweed Pencil Skirt.,A tweed pencil skirt is just what the busy professional woman needs. You don't have to sacrifice great fit and quality for comfort! ,,color=New Coral Multi; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwec977fcd/images/large/PG.10244717.JJE84XX.PZ.jpg,
25696873M,Pencil Skirt.,,,,,master,USD,129,,,true,700,700,womens-clothing-bottoms,Pencil skirts are always in style especially if paired with a great suit jacket and classic cami.,Pencil skirts are always in style especially if paired with a great suit jacket and classic cami.,Pencil Skirt.,Pencil skirts are always in style especially if paired with a great suit jacket and classic cami. ,,color=Black; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa1699fe2/images/large/PG.10247878.JJ3WCXX.PZ.jpg,
25697241M,Pleated Flare Skirt.,,,,,master,USD,129,,,true,700,700,womens-clothing-bottoms,You will love this pleated flare skirt! It goes with everything!,You will love this pleated flare skirt! It goes with everything!,Pleated Flare Skirt.,You will love this pleated flare skirt! It goes with everything! ,,color=New Coral Multi; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw8a823c42/images/large/PG.10252193.JJE84XX.PZ.jpg,
25698039M,Straight Leg Pant.,,,,,master,USD,79,,,true,699,699,womens-clothing-bottoms,"Classically designed, this straight leg pant is perfect to pair with the matching Commerce Cloud Store jacket!","Classically designed, this straight leg pant is perfect to pair with the matching Commerce Cloud Store jacket!",Straight Leg Pant.,"Classically designed, this straight leg pant is perfect to pair with the matching Commerce Cloud Store jacket! ",,color=White; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwf59d2d89/images/large/PG.10247202.JJI15XX.PZ.jpg,
25697791M,Crop Straight Leg Pant,,,,,master,USD,74,,,true,700,700,womens-clothing-bottoms,Perfect pair of cropped straight legt pant for the hot summer days. Pair with a tee for a great summer look!,Perfect pair of cropped straight legt pant for the hot summer days. Pair with a tee for a great summer look!,Crop Straight Leg Pant,Perfect pair of cropped straight legt pant for the hot summer days. Pair with a tee for a great summer look! ,,color=Admiral Navy; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw6aee5048/images/large/PG.10247194.JJBF5XX.PZ.jpg,
25493624M,Flat Front Classic Pant,,,,,master,USD,75.99,,,true,677,677,womens-clothing-bottoms,"Classically designed, this pin stripe pant is perfect to pair with the matching Commerce Cloud Store jacket!","Classically designed, this pin stripe pant is perfect to pair with the matching Commerce Cloud Store jacket!",Flat Front Classic Pant,"Classically designed, this pin stripe pant is perfect to pair with the matching Commerce Cloud Store jacket!",,color=Zinc Multi; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw53187e39/images/large/PG.10206960.JJ1ANA7.PZ.jpg,
25502027M,Classic Tweed Pant,,,,,master,USD,80.99,,,true,695,695,womens-clothing-bottoms,Our best selling classic pant is updated in a bird's eye tweed with 2 back pockets!,Our best selling classic pant is updated in a bird's eye tweed with 2 back pockets!,Classic Tweed Pant,Our best selling classic pant is updated in a bird's eye tweed with 2 back pockets!,,color=Laurel Multi; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa603668d/images/large/PG.10208897.JJ0QRXX.PZ.jpg,
25752981M,Striped Silk Tie,,,,,master,USD,29.99,,,true,74,74,mens-accessories-ties,This silk tie works well with a Commerce Cloud Store dress shirt and suit. It's perfect for any occasion.,This silk tie works well with a Commerce Cloud Store dress shirt and suit It's perfect for any occasion.,Striped Silk Tie,This silk tie works well with a Commerce Cloud Store dress shirt and suit. It's perfect for any occasion. ,,color=Taupe,1,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw3498e438/images/large/PG.949034314S.TAUPESI.PZ.jpg,
83536828M,Summer Straight Fit Shorts,,,,,master,USD,155,,,true,894,894,mens-clothing-shorts,These straight-fit shorts are perfect for the summer heat without losing your cool. Made in our cotton stretch shirting with plaid pattern fabric.,"66% cotton, 30% polyester, 4% elastane straight-fit quarter top front pockets patch back pockets dry clean only",Men's Summer Straight Fit Shorts,These straight-fit shorts are perfect for the summer heat without losing your cool. Made in our cotton stretch shirting with plaid pattern fabric.,,color=Black; size=28|29|30|31|32|33|34|36|38|40,10,13,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw843532c9/images/large/B0574213_M5M_L2.jpg,
12416789M,Straight Leg Trousers,,,,,master,USD,195,,,true,862,862,mens-clothing-pants,"A menswear favorite, these straight leg trousers are to the point when it comes to business dressing. Made in our lightweight combed stretch cotton suiting with pinstripe pattern.","80% cotton, 15% nylon, 5% elastane straight leg clean cut front rise 10 1/4 inches back rise 14 3/4 inches leg opening 15 1/2 inches inseam 34 1/4 inches measurements taken from a size 32 dry clean only",straight-leg-trousers,"A menswear favorite, these straight leg trousers are to the point when it comes to business dressing. Made in our lightweight combed stretch cotton suiting with pinstripe pattern.",,color=Navy; size=28|29|30|31|32|33|34|36|38|40,10,10,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw8e97f620/images/large/B0274206_GYX_0.jpg,
25565622M,Capri Leggings with Snap Button Detail,,,,,master,USD,54,,,true,500,500,womens-clothing-bottoms,These capri leggings were updated with a snap button detail at the bottom of the pant. Great for everyday comfy wear!,These capri leggings were updated with a snap button detail at the bottom of the pant. Great for everyday comfy wear!,Capri Leggings with Snap Button Detail,These capri leggings were updated with a snap button detail at the bottom of the pant. Great for everyday comfy wear!,,color=Black; size=XS|S|M|L|XL,5,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwfcd0b27d/images/large/PG.10234352.JJ169XX.PZ.jpg,
25686364M,Charcoal Single Pleat Striped Wool Suit,,,,,master,USD,299.99,,,true,1489,1489,mens-clothing-suits,This suit is great for any occasion. Add a shirt and a tie and you are ready for any event.,This suit is great for any occasion. Add a shirt and a tie and you are ready for any event.,Charcoal Single Pleat Striped Wool Suit,This suit is great for any occasion. Add a shirt and a tie and you are ready for any event. ,,color=Charcoal; size=36|38|39|40|41|42|43|44|46|48|50; width=Short|Regular|Long,16,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa2b9bd10/images/large/PG.55360RUBN4Q.CHARCWL.PZ.jpg,
apple-ipod-touchM,Apple iPod Touch,Apple,,,,master,USD,229,,,false,0,0,electronics-digital-media-players,"Play music, watch video and surf the Internet with the touch of a finger. The revolutionary multitouch interface is easy to use and the built-in wi-fi comes with a Safari Web browser. Music, movies, games and the Internet — with a built-in speaker and groundbreaking technologies such as accelerometer, and 3D graphics, iPod touch puts an amazing entertainment experience in the palm of your hand.","Supports MP3 (up to 320 Kbps), MP3 VBR, AAC (up to 320 Kbps), Protected AAC (iTunes Music Store), Audible (formats 2, 3, 4), AIFF, Apple Lossless and WAV audio formats, plus BMP, JPEG, GIF, TIFF, PNG and PSD (Mac only) image formats; podcasting support Wi-Fi web browsing",Apple iPod Touch,"Play music, watch video and surf the Internet with the touch of a finger. The revolutionary multitouch interface is easy to use and the built-in wi-fi comes with a Safari Web browser. Music, movies, games and the Internet — with a built-in speaker and groundbreaking technologies such as accelerometer, and 3D graphics, iPod touch puts an amazing entertainment experience in the palm of your hand.","Apple, iPod, iPod Touch, MP3, Music Player, Video iPod",memorySize=8 GB|16 GB|32 GB,3,3,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-electronics-m-catalog/default/dwe5178424/images/large/apple-ipod-touch.jpg,
25588993M,Slim Skirt With Back Kick Pleats,,,,,master,USD,73.99,,,true,593,593,womens-clothing-bottoms,This is an updated desk-to-dinner pencil skirt with a double back kick pleat. You'll love it within a great Commerce Cloud Store jacket,This is an updated desk-to-dinner pencil skirt with a double back kick pleat. You'll love it within a great Commerce Cloud Store jacket,Slim Skirt With Back Kick Pleats,This is an updated desk-to-dinner pencil skirt with a double back kick pleat. You'll love it within a great Commerce Cloud Store jacket,,color=Black; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw530f0a1d/images/large/PG.10221626.JJ3WCXX.PZ.jpg,
25589004M,Pencil Skirt,,,,,master,USD,73.99,,,true,700,700,womens-clothing-bottoms,"Searching for the perfect skirt? Look no more, this pencil skirt offers a classic shape that can be worn year after year. Pair with a scoop neck top and classic pumps.","Searching for the perfect skirt? Look no more, this pencil skirt offers a classic shape that can be worn year after year. Pair with a scoop neck top and classic pumps.",Pencil Skirt,"Searching for the perfect skirt? Look no more, this pencil skirt offers a classic shape that can be worn year after year. Pair with a scoop neck top and classic pumps.",,color=Cobalt Multi; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw28a25869/images/large/PG.10225676.JJW19A1.PZ.jpg,
25518746M,Trouser Leg Pant,,,,,master,USD,47.99,,,true,699,699,womens-clothing-bottoms,Our best selling trouser leg pant with a tab waist and 2 back pockets is a much have wardrobe completer. We love the way it looks with a great Commerce Cloud Store top!,Our best selling trouser leg pant with a tab waist and 2 back pockets is a much have wardrobe completer. We love the way it looks with a great Commerce Cloud Store top!,Trouser Leg Pant,Our best selling trouser leg pant with a tab waist and 2 back pockets is a much have wardrobe completer. We love the way it looks with a great Commerce Cloud Store top!,,color=Black; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw609dac05/images/large/PG.10207088.JJ169XX.PZ.jpg,
25592613M,Slim Capri,,,,,master,USD,74,,,true,700,700,womens-clothing-bottoms,Perfect capri for weekends. Pair with a Commerce Cloud Store top for a perfect look.,Perfect capri for weekends. Pair with a Commerce Cloud Store top for a perfect look.,Slim Capri,Perfect capri for weekends. Pair with a Commerce Cloud Store top for a perfect look.,,color=White; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw1acb634f/images/large/PG.10240295.JJI15XX.PZ.jpg,
25697161M,Sleeveless Cowl Neck Knit.,,,,,master,USD,79,,,true,400,400,womens-clothing-tops,"Take it easy in our short sleeve cowl neck shirt, great for weekend wear.","Take it easy in our short sleeve cowl neck shirt, great for weekend wear.",Sleeveless Cowl Neck Knit.,"Take it easy in our short sleeve cowl neck shirt, great for weekend wear. ",,color=Multi; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw8fe883b6/images/large/PG.10251335.JJZ01XX.PZ.jpg,
25697659M,Eyelet Skirt.,,,,,master,USD,89,,,true,700,700,womens-clothing-bottoms,This eyelet skirt is a great feminine piece for your wardrobe. You will love this in the summer months.,This eyelet skirt is a great feminine piece for your wardrobe. You will love this in the summer months.,Eyelet Skirt.,This eyelet skirt is a great feminine piece for your wardrobe. You will love this in the summer months. ,,color=Black; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwd9df8917/images/large/PG.10253481.JJ169XX.PZ.jpg,
25697587M,Straight Leg Pant.,,,,,master,USD,79,,,true,1400,1400,womens-clothing-bottoms,One of JNY's bestsellers! We all love this pant!,One of JNY's bestsellers! We all love this pant!,Straight Leg Pant.,One of JNY's bestsellers! We all love this pant! ,,color=Black|White; size=4|6|8|10|12|14|16,14,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwbeb0a328/images/large/PG.10246050.JJ169XX.PZ.jpg,
25697800M,Pleated Dress With Front Sash.,,,,,master,USD,129,,,true,700,700,womens-clothing-dresses,The Pleated dress is a classic style that looks amazing on all shapes and sizes.,The Pleated dress is a classic style that looks amazing on all shapes and sizes.,Pleated Dress With Front Sash.,The Pleated dress is a classic style that looks amazing on all shapes and sizes. ,,color=Admiral Navy; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw3e62a4a8/images/large/PG.10247254.JJBF5XX.PZ.jpg,
